Year,Value
1960,37029883875
1961,39232435784
1962,42161481859
1963,48421923459
1964,56480289941
1965,59554854575
1966,45865462034
1967,50134942203
1968,53085455871
1969,58447995017
1970,62422483055
1971,67350988021
1972,71463193830
1973,85515269586
1974,99525899116
1975,98472796457
1976,1.03E+11
1977,1.21E+11
1978,1.37E+11
1979,1.53E+11
1980,1.86E+11
1981,1.93E+11
1982,2.01E+11
1983,2.18E+11
1984,2.12E+11
1985,2.33E+11
1986,2.49E+11
1987,2.79E+11
1988,2.97E+11
1989,2.96E+11
1990,3.21E+11
1991,2.70E+11
1992,2.88E+11
1993,2.79E+11
1994,3.27E+11
1995,3.60E+11
1996,3.93E+11
1997,4.16E+11
1998,4.21E+11
1999,4.59E+11
2000,4.68E+11
2001,4.85E+11
2002,5.15E+11
2003,6.08E+11
2004,7.09E+11
2005,8.20E+11
2006,9.40E+11
2007,1.22E+12
2008,1.20E+12
2009,1.34E+12
2010,1.68E+12
2011,1.82E+12
2012,1.83E+12
2013,1.86E+12
2014,2.04E+12
2015,2.10E+12
2016,2.29E+12
2017,2.65E+12
2018,2.71E+12
2019,2.87E+12
